ID,State,State Abbreviation,Latitude,Longitude,HxPosition,HyPosition,SxPosition,SyPosition,Soil Name,Level Number,Level Name,Start Depth (cm),End Depth (cm),Munsell,RGB
27,Minnesota,MN,46.39241,-94.63623,4,3,5,5,Lester,1,Ap,0,18,10YR 3/2,"rgb(85, 70, 54)"
27,Minnesota,,46.39241,-94.63623,4,3,5,5,Lester,2,Bt1,18,53,10YR 4/3,"rgb(115, 92, 65)"
27,Minnesota,,46.39241,-94.63623,4,3,5,5,Lester,3,Bt2,53,97,10YR 4/4,"rgb(122, 92, 54)"
27,Minnesota,,46.39241,-94.63623,4,3,5,5,Lester,4,Bk1,97,127,10YR 5/4,"rgb(148, 118, 79)"
27,Minnesota,,46.39241,-94.63623,4,3,5,5,Lester,5,Bk2,127,152,10YR 5/4,"rgb(148, 118, 79)"
27,Minnesota,,46.39241,-94.63623,4,3,5,5,Lester,6,C,152,203,10YR 5/4,"rgb(148, 118, 79)"
28,Mississippi,MS,33,-90,6,1,6,1,Natchez,1,Oi,0,2.54,10YR 2/1,"rgb(54, 48, 41 )"
28,Mississippi,,33,-90,6,1,6,1,Natchez,2,A1,2.54,10.16,10YR 4/2,"rgb(111, 95, 76)"
28,Mississippi,,33,-90,6,1,6,1,Natchez,3,A2,10.16,22.86,10YR 4/3,"rgb(115, 92, 65)"
28,Mississippi,,33,-90,6,1,6,1,Natchez,4,Bw1,22.86,30.48,10YR 5/4,"rgb(148, 118, 79)"
28,Mississippi,,33,-90,6,1,6,1,Natchez,5,Bw2,30.48,68.58,10YR 4/4,"rgb(122, 92, 54)"
28,Mississippi,,33,-90,6,1,6,1,Natchez,6,C1,68.58,124.46,10YR 5/4,"rgb(148, 118, 79)"
28,Mississippi,,33,-90,6,1,6,1,Natchez,7,C2,124.46,167.64,10YR 4/4,"rgb(122, 92, 54)"
29,Missouri,MO,38.573936,-92.60376,5,2,5,3,Menfro,1,Ap,0,7.62,10YR 3/3,"rgb(89, 68, 44)"
29,Missouri,,38.573936,-92.60376,5,2,5,3,Menfro,2,E,7.62,15.24,10YR 4/3,"rgb(115, 92, 65)"
29,Missouri,,38.573936,-92.60376,5,2,5,3,Menfro,3,BE,15.24,27.94,10YR 4/4,"rgb(122, 92, 54)"
29,Missouri,,38.573936,-92.60376,5,2,5,3,Menfro,4,Bt1,27.94,43.18,10YR 4/6,"rgb(129, 90, 33)"
29,Missouri,,38.573936,-92.60376,5,2,5,3,Menfro,5,Bt2,43.18,60.96,10YR 5/4,"rgb(148, 118, 79)"
29,Missouri,,38.573936,-92.60376,5,2,5,3,Menfro,6,Bt3,60.96,83.82,10YR 4/6,"rgb(129, 90, 33)"
29,Missouri,,38.573936,-92.60376,5,2,5,3,Menfro,7,Bt4,83.82,101.6,7.5YR 4/4,"rgb(126, 90, 59)"
29,Missouri,,38.573936,-92.60376,5,2,5,3,Menfro,8,Bt5,101.6,129.54,10YR 4/4,"rgb(122, 92, 54)"
29,Missouri,,38.573936,-92.60376,5,2,5,3,Menfro,9,Bt6,129.54,157.48,10YR 4/4,"rgb(122, 92, 54)"
29,Missouri,,38.573936,-92.60376,5,2,5,3,Menfro,10,Bt7,157.48,203.2,10YR 5/4,"rgb(148, 118, 79)"
30,Montana,MT,46.96526,-109.533691,2,3,3,5,Scobey,1,Ap,0,15.24,10YR 5/2,"rgb(137, 120, 101)"
30,Montana,,46.96526,-109.533691,2,3,3,5,Scobey,2,Bt,15.24,30.48,10YR 5/3,"rgb(141, 118, 90)"
30,Montana,,46.96526,-109.533691,2,3,3,5,Scobey,3,Bk1,30.48,48.26,2.5Y 5/2,"rgb(134, 121, 100)"
30,Montana,,46.96526,-109.533691,2,3,3,5,Scobey,4,Bk2,48.26,106.68,2.5Y 6/2,"rgb(160, 148, 124)"
30,Montana,,46.96526,-109.533691,2,3,3,5,Scobey,5,Bky,106.68,152.4,2.5Y 5/2,"rgb(134, 121, 100)"
31,Nebraska,NE,41.5,-100,4,2,4,3,Holdrege,1,Ap,0,15.24,10YR 4/2,"rgb(111, 95, 76)"
31,Nebraska,,41.5,-100,4,2,4,3,Holdrege,2,A,15.24,30.48,10YR 4/2,"rgb(111, 95, 76)"
31,Nebraska,,41.5,-100,4,2,4,3,Holdrege,3,Bt1,30.48,38.1,10YR 4/2,"rgb(111, 95, 76)"
31,Nebraska,,41.5,-100,4,2,4,3,Holdrege,4,Bt2,38.1,60.96,10YR 5/2,"rgb(137, 120, 101)"
31,Nebraska,,41.5,-100,4,2,4,3,Holdrege,5,BC,60.96,76.2,10YR 6/3,"rgb(167, 144, 114)"
31,Nebraska,,41.5,-100,4,2,4,3,Holdrege,6,C,76.2,203.2,10YR 7/4,"rgb(202, 171, 128)"
32,Nevada,NV,39.876019,-117.224121,2,2,2,3,Orovada,1,A,0,5,10YR 3/3,"rgb(89, 68, 44)"
32,Nevada,,39.876019,-117.224121,2,2,2,3,Orovada,2,Bw1,5,20,10YR 6/2,"rgb(163, 147, 126)"
32,Nevada,,39.876019,-117.224121,2,2,2,3,Orovada,3,Bw2,20,36,10YR 7/2,"rgb(190, 173, 151)"
32,Nevada,,39.876019,-117.224121,2,2,2,3,Orovada,4,Bq,36,66,10YR 6/3,"rgb(167, 144, 114)"
32,Nevada,,39.876019,-117.224121,2,2,2,3,Orovada,5,Bqk1,66,86,2.5Y 6/2,"rgb(160, 148, 124)"
32,Nevada,,39.876019,-117.224121,2,2,2,3,Orovada,6,Bqk2,86,122,10YR 6/2,"rgb(163, 147, 126)"
32,Nevada,,39.876019,-117.224121,2,2,2,3,Orovada,7,B'q,122,155,10YR 6/3,"rgb(167, 144, 114)"
33,New Hampshire,NH,44,-71.5,10.5,3.5,11,6,Marlow,1,Oi,0,5,10YR 2/1,"rgb(54, 48, 41 )"
